problem_id,best_direct,original,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,top8,rank_order
atcoder_abc395c_shortest-duplicate-subarray,917.611118,969.53439,845.436706,633.3665520000001,1063.255693,661.7010710000002,902.860879,955.458996,859.753582,670.8203259999998,633.3665520000001,"['rank_2', 'rank_4', 'rank_8', 'rank_1', 'rank_7', 'rank_5', 'rank_6', 'rank_3']"
atcoder_abc395d_pigeon-swap,422.4476559999999,501.6643959999999,492.3356760000001,,,,,,,,492.3356760000001,['rank_1']
atcoder_abc396a_triple-four,349.440197,316.953627,334.96861100000007,273.195042,283.6121509999999,362.675345,300.56689800000004,253.98547800000003,301.140884,317.185096,253.98547800000003,"['rank_6', 'rank_2', 'rank_3', 'rank_5', 'rank_7', 'rank_8', 'rank_1', 'rank_4']"
atcoder_abc396b_card-pile,354.32987499999996,339.26120499999996,,,,,,,,299.492594,299.492594,['rank_8']
atcoder_abc396d_minimum-xor-path,,328.80396300000007,,,,,436.17483300000004,,,,436.17483300000004,['rank_5']
atcoder_abc396g_flip-row-or-col,,,,,,,,,,,,[]
atcoder_abc397a_thermometer,281.0835200000001,300.267144,362.23110099999997,320.088169,338.448136,265.90142399999996,310.011635,,272.36609500000003,278.107103,265.90142399999996,"['rank_4', 'rank_7', 'rank_8', 'rank_5', 'rank_2', 'rank_3', 'rank_1']"
atcoder_abc397b_ticket-gate-log,340.5779340000001,301.517898,,,,,,,,324.37962799999997,324.37962799999997,['rank_8']
atcoder_abc397c_variety-split-easy,415.76703899999995,412.73815299999995,,436.245943,,406.8503970000001,380.103027,504.8545199999999,,,380.103027,"['rank_5', 'rank_4', 'rank_2', 'rank_6']"
atcoder_abc397e_path-decomposition-of-a-tree,3028.801465,3460.8185200000007,4567.905865000001,3650.9761019999996,3769.8195880000003,3522.661027,4259.406974000001,4477.099635,3688.9655109999994,3524.1641099999997,3522.661027,"['rank_4', 'rank_8', 'rank_2', 'rank_7', 'rank_3', 'rank_5', 'rank_6', 'rank_1']"
atcoder_abc398a_doors-in-the-center,339.057712,271.27153,349.596349,266.503099,303.77811199999996,404.96280799999994,257.572027,301.83442499999995,251.825535,287.011324,251.825535,"['rank_7', 'rank_5', 'rank_2', 'rank_8', 'rank_6', 'rank_3', 'rank_1', 'rank_4']"
atcoder_abc398b_full-house-3,327.292521,332.37006800000006,367.982134,,294.82766799999996,266.058728,248.116395,318.329262,295.646805,315.2548990000001,248.116395,"['rank_5', 'rank_4', 'rank_3', 'rank_7', 'rank_8', 'rank_6', 'rank_1']"
atcoder_abc398c_uniqueness,466.12133299999994,451.514336,427.70661200000006,452.20327700000007,561.093618,415.32874899999996,482.3447579999999,408.48929999999996,432.268313,549.282507,408.48929999999996,"['rank_6', 'rank_4', 'rank_1', 'rank_7', 'rank_2', 'rank_5', 'rank_8', 'rank_3']"
atcoder_abc399a_hamming-distance,328.142253,292.23563100000007,356.10997799999996,344.6631499999999,325.748064,305.748415,296.33305599999994,301.703803,293.27809799999994,321.946908,293.27809799999994,"['rank_7', 'rank_5', 'rank_6', 'rank_4', 'rank_8', 'rank_3', 'rank_2', 'rank_1']"
atcoder_abc399b_ranking-with-ties,251.050758,346.68067299999996,325.78162900000007,338.870441,,338.4443980000001,285.50453799999997,271.576818,357.519984,278.516346,271.576818,"['rank_6', 'rank_8', 'rank_5', 'rank_1', 'rank_4', 'rank_2', 'rank_7']"
atcoder_abc400a_abc400-party,343.61036999999993,268.03694600000006,333.97924400000005,323.416048,275.813836,350.14110500000004,314.3891770000001,308.7434480000001,387.60617199999996,312.94485699999996,275.813836,"['rank_3', 'rank_6', 'rank_8', 'rank_5', 'rank_2', 'rank_1', 'rank_4', 'rank_7']"
atcoder_abc400b_sum-of-geometric-series,269.700283,268.953328,254.70845099999997,360.086408,281.38518500000004,,408.716467,344.79431100000005,290.81350499999996,332.1795130000001,254.70845099999997,"['rank_1', 'rank_3', 'rank_7', 'rank_8', 'rank_6', 'rank_2', 'rank_5']"
atcoder_abc400e_ringo's-favorite-numbers-3,9050.153562,9344.306674,,,,,,,,,,[]
atcoder_abc400g_patisserie-abc-3,5771.44758,6178.161982,,,,,,,,,,[]
atcoder_abc401a_status-code,317.425524,291.633163,406.2178789999999,294.0786519999999,406.8576010000001,337.8614600000001,287.68933699999997,243.144609,337.253957,268.81177,243.144609,"['rank_6', 'rank_8', 'rank_5', 'rank_2', 'rank_7', 'rank_4', 'rank_1', 'rank_3']"
atcoder_abc401b_unauthorized,299.88864800000005,253.85004599999996,257.82201399999997,329.85630399999997,271.743898,266.90335999999996,298.20169899999996,344.322523,264.8793840000001,316.85573899999997,257.82201399999997,"['rank_1', 'rank_7', 'rank_4', 'rank_3', 'rank_5', 'rank_8', 'rank_2', 'rank_6']"
atcoder_abc402a_cbc,355.55734599999994,289.31575599999996,308.61598599999996,303.327143,268.43199400000003,355.1761890000001,287.25788900000003,286.49681200000003,304.823042,302.008023,268.43199400000003,"['rank_3', 'rank_6', 'rank_5', 'rank_8', 'rank_2', 'rank_7', 'rank_1', 'rank_4']"
atcoder_abc402b_restaurant-queue,386.19856099999987,351.57756700000004,339.64858,439.655909,292.750685,314.230007,393.3591129999999,304.0175489999999,365.59343299999995,304.83515700000004,292.750685,"['rank_3', 'rank_6', 'rank_8', 'rank_4', 'rank_1', 'rank_7', 'rank_5', 'rank_2']"
atcoder_abc402c_dislike-foods,477.07311599999997,496.80587700000007,,553.466511,,432.638315,400.66541500000005,,,,400.66541500000005,"['rank_5', 'rank_4', 'rank_2']"
atcoder_abc402d_line-crossing,2691.525288,3167.4212840000005,3077.85823,,2789.993355,,,2664.029938999999,,,2664.029938999999,"['rank_6', 'rank_3', 'rank_1']"
atcoder_abc402e_payment-required,7571.876613,8092.152762999999,,,,,,,,,,[]
atcoder_abc402f_path-to-integer,2481.7154940000005,3671.0585229999997,,3919.9213099999993,,,,3971.955125,3511.495616,4693.0767430000005,3511.495616,"['rank_7', 'rank_2', 'rank_6', 'rank_8']"
